@RELATION pyAudioAnalysis/data/svmSM
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {outputs_nonstutter,outputs_stutter}

@DATA
0.154741,0.043420,2.999109,0.352298,0.323004,1.066090,0.002101,0.277632,-22.745034,1.254404,0.334332,0.430574,0.155423,0.208728,0.121508,0.153566,0.081332,0.090714,0.084791,0.048046,0.023057,0.003673,0.001441,0.059700,0.002537,0.046581,0.001826,0.120434,0.001114,0.001760,0.007027,0.023097,0.001355,0.042082,0.028418,0.013966,0.137763,0.007425,0.002549,0.258418,0.000968,0.152127,0.166799,0.110414,0.123762,0.140672,0.099350,0.120737,0.148564,0.152029,0.158794,0.145147,0.132448,0.171885,0.165849,0.002878,0.001002,0.048429,0.001532,0.031259,0.001186,0.081153,0.001080,0.001071,0.004996,0.016264,0.000824,0.017098,outputs_nonstutter
0.158031,0.041787,3.023324,0.349909,0.323505,1.046093,0.001912,0.270009,-22.797634,1.270102,0.242704,0.407941,0.149526,0.143366,0.144698,0.142279,0.107642,0.076673,0.007433,0.043352,0.055276,0.004707,0.001529,0.050194,0.003651,0.047938,0.002866,0.125843,0.001017,0.001832,0.004971,0.024068,0.001392,0.040479,0.036080,0.018451,0.122797,0.013150,0.002925,0.273319,0.000846,0.167110,0.219123,0.145791,0.143642,0.139452,0.160544,0.148696,0.130565,0.185918,0.176058,0.140608,0.147575,0.099118,0.094794,0.004199,0.000572,0.038817,0.003074,0.027918,0.002676,0.059684,0.000622,0.001777,0.003515,0.022272,0.000831,0.012191,outputs_nonstutter
0.057237,0.056279,2.864414,0.190892,0.231661,0.394057,0.016711,0.052223,-28.294032,1.738082,0.255350,0.030770,0.117685,-0.009448,-0.304477,-0.271030,-0.436421,-0.173413,-0.050358,0.344456,0.377748,0.005337,0.000612,0.048461,0.003842,0.073290,0.019993,0.097195,0.000433,0.002727,0.001889,0.005339,0.004416,0.049311,0.039670,0.060065,0.648455,0.074464,0.065945,0.387627,0.018107,0.060465,5.667792,0.932051,0.364877,0.621268,0.408187,0.227876,0.456670,0.276847,0.478139,0.365630,0.344278,0.307782,0.354136,0.007942,0.000862,0.093862,0.004348,0.086461,0.032031,0.090074,0.000341,0.003098,0.002970,0.007555,0.010999,0.025251,outputs_nonstutter
0.058575,0.027017,2.962737,0.208798,0.234045,0.547633,0.021025,0.110708,-30.126061,1.768595,0.521824,-0.238777,0.118139,0.127231,-0.063522,0.057283,-0.313154,-0.218820,-0.184611,-0.047057,0.137714,0.001121,0.000492,0.018455,0.038897,0.070326,0.003627,0.132849,0.000297,0.000608,0.001490,0.006472,0.000405,0.058968,0.093936,0.043990,0.340427,0.080414,0.060628,0.784408,0.043126,0.183372,6.384573,0.934057,0.573633,0.703427,0.357859,0.354664,0.314057,0.206581,0.443807,0.346865,0.422376,0.299424,0.236601,0.000905,0.000614,0.022510,0.069029,0.074203,0.007009,0.153407,0.000376,0.000553,0.001395,0.016741,0.000463,0.028681,outputs_nonstutter
0.061366,0.001628,3.184192,0.478567,0.308466,0.892429,0.000869,0.317604,-36.288239,0.086285,0.020134,0.082892,0.015490,0.013673,-0.004107,-0.029067,0.037153,0.031900,0.047284,-0.014608,-0.018844,0.000424,0.000204,0.004720,0.000225,0.139647,0.000357,0.008806,0.000143,0.000245,0.000568,0.001118,0.000176,0.040420,0.008276,0.007029,0.563035,0.060427,0.005415,0.169900,0.001952,0.111870,2.914676,0.509460,0.116820,0.133733,0.116614,0.126513,0.131794,0.095972,0.082391,0.126403,0.128118,0.141734,0.161310,0.001061,0.000301,0.019594,0.000248,0.021809,0.000740,0.037218,0.000059,0.000406,0.001791,0.004112,0.000226,0.002218,outputs_nonstutter
0.100522,0.026155,2.878899,0.207762,0.203425,0.602056,0.016561,0.114791,-28.249187,1.768887,0.214095,0.006510,0.116194,0.016079,-0.316322,0.083813,-0.214132,-0.249998,-0.284958,-0.242454,0.022872,0.004074,0.002831,0.047047,0.072570,0.021572,0.002864,0.092186,0.000314,0.000852,0.004879,0.004710,0.002878,0.047783,0.106158,0.026800,0.419210,0.091659,0.060067,0.662354,0.030194,0.163631,3.832622,0.921753,0.621328,0.383768,0.309040,0.292767,0.340408,0.154156,0.479465,0.429020,0.389439,0.314871,0.174674,0.005517,0.007413,0.058204,0.105484,0.021437,0.002740,0.134281,0.000440,0.001280,0.009333,0.005281,0.006468,0.035464,outputs_nonstutter
0.030399,0.020275,3.137614,0.127272,0.188674,0.246206,0.011507,0.047051,-26.287638,2.410835,0.390217,-0.443581,-0.109734,0.072063,-0.334293,0.041517,-0.601993,-0.503769,-0.543208,-0.202136,0.227496,0.003823,0.000834,0.039329,0.087829,0.058019,0.011622,0.069847,0.000398,0.001475,0.012299,0.006005,0.001239,0.048517,0.017880,0.025879,0.227747,0.032235,0.021336,0.210644,0.008703,0.051037,1.529840,0.731843,0.533633,0.376090,0.334655,0.546605,0.417692,0.338547,0.248339,0.239352,0.321904,0.438561,0.283245,0.005173,0.001543,0.028151,0.084917,0.061929,0.014386,0.100598,0.000451,0.001632,0.029645,0.011548,0.003038,0.020924,outputs_nonstutter
0.046416,0.040781,2.992639,0.195326,0.230337,0.355922,0.009881,0.053902,-26.911031,1.927239,0.198963,0.124815,-0.109361,0.274887,0.105603,0.131554,-0.134524,-0.033375,-0.156291,-0.212801,-0.241986,0.002909,0.007550,0.051980,0.021762,0.029285,0.001100,0.193009,0.004108,0.005972,0.001825,0.004567,0.000488,0.062667,0.043994,0.053237,0.224730,0.054765,0.041749,0.469091,0.008594,0.100033,3.123193,0.653623,0.606318,0.421189,0.296789,0.280834,0.368560,0.349108,0.299948,0.225132,0.389726,0.384783,0.395470,0.002865,0.014945,0.038427,0.045149,0.035308,0.000784,0.152477,0.010630,0.019087,0.001608,0.003741,0.000453,0.033258,outputs_nonstutter
0.058144,0.049748,3.031797,0.168593,0.192870,0.595859,0.011202,0.107713,-25.258044,2.111589,0.221736,-0.731936,-0.311062,0.114824,-0.082080,0.122522,-0.600155,-0.220744,-0.541439,-0.173254,-0.102159,0.004116,0.009314,0.064187,0.048700,0.058400,0.010948,0.018492,0.001994,0.002014,0.002914,0.002192,0.000761,0.038816,0.058927,0.053633,0.317822,0.061010,0.031254,0.626946,0.009290,0.115971,2.523110,1.101554,0.594985,0.526522,0.286204,0.281486,0.203819,0.387398,0.328323,0.423734,0.299924,0.457744,0.327229,0.004137,0.018754,0.063751,0.072753,0.081805,0.013830,0.035415,0.004438,0.002150,0.003466,0.001562,0.000514,0.021454,outputs_nonstutter
0.049977,0.070537,3.033427,0.164724,0.219758,0.337004,0.011072,0.051996,-26.053190,2.265745,0.365708,0.149724,-0.171088,0.001234,-0.150152,0.127864,-0.108448,-0.279568,-0.304226,-0.199574,-0.302620,0.024720,0.004810,0.083558,0.049580,0.039706,0.004038,0.067020,0.001880,0.001327,0.003619,0.006242,0.001196,0.048552,0.037779,0.082567,0.316071,0.058495,0.049334,0.404827,0.009126,0.063592,3.222611,1.173885,0.651816,0.285522,0.380940,0.409114,0.232519,0.225042,0.216618,0.305462,0.463506,0.434404,0.208424,0.049879,0.007783,0.068250,0.068873,0.043147,0.004816,0.092210,0.004882,0.001319,0.005325,0.006417,0.001336,0.016097,outputs_nonstutter
